,Epochs,TrainAUROCIndex,TrainF1Index,ValAUROCIndex,ValF1Index
0,0,0.5087448400510869,0.49783199479882145,0.47857317494021523,0.4797682762145996
1,1,0.5073327061156152,0.4977621255626141,0.5050681332747141,0.4982081303993861
2,2,0.4952397577359643,0.497017179576444,0.5009333723121219,0.48211730851067436
3,3,0.487475808657391,0.4909777909937039,0.5112732930315865,0.5001712193091711
4,4,0.5019755825190477,0.49962491174818763,0.5034582383102841,0.49619582792123157
5,5,0.4891528701278525,0.49354152318457484,0.5070657283067703,0.5006128433677886
6,6,0.4874090153566549,0.49095765133978614,0.49257247977786595,0.48867209917969173
7,7,0.505343928723268,0.49448373158213116,0.5375133090549045,0.5037123113870621
8,8,0.5040519430603779,0.4956072430375596,0.4900011271238327,0.49403640462292564
9,9,0.49558184222436286,0.5009540285862667,0.4964791089296341,0.49668468203809524
10,10,0.49216655778213286,0.49513472595684965,0.5069490422805151,0.5030871596601274
11,11,0.5011060821338439,0.49764321471603823,0.47190455430083805,0.4857787142197291
12,12,0.49662842507093724,0.4915592892908714,0.4990928504202101,0.48892856140931445
13,13,0.509020017486223,0.4968177764348581,0.49589522845215267,0.4922143734163708
14,14,0.4984755293584206,0.49979537431622895,0.4925328890482585,0.49114076958762276
15,15,0.4983634243548756,0.49378140501573053,0.46861431499322254,0.4823176943593555
16,16,0.5012167910454979,0.49530321821360523,0.499524818526374,0.4864155699809392
17,17,0.5026170300765777,0.49864436371225707,0.4880610588524077,0.4961450629764133
18,18,0.504233244858997,0.4997073164288427,0.4867844813399845,0.4852382159895367
19,19,0.495595675119212,0.4954775420712753,0.5020957820945315,0.4999091194735633
20,20,0.500546244668289,0.4974581225657127,0.5037551638152864,0.49124035073651207
21,21,0.5019387556633479,0.500350102992125,0.5014283723301358,0.49922627210617065
22,22,0.49426450485914525,0.4952374046117487,0.48568619787693024,0.4943721228175693
23,23,0.5058433917206777,0.4992389275994099,0.4847639451424281,0.4916333688629998
24,24,0.5026968087948543,0.49811788469972745,0.5052296386824714,0.4974815928273731
25,25,0.5012560159387723,0.49908591240224703,0.5218833867046568,0.504803803231981
26,26,0.4895024702582561,0.491933888532746,0.5249783661630418,0.5003807445367178
27,27,0.4953742912957366,0.4932349072375768,0.49777282608879936,0.5003831502464082
