,Epochs,train_AUC,validation_AUC
0,0,,0.9567722438413315
1,1,,0.957154999291708
2,2,,0.95927681996328
3,3,,0.9617486202193761
4,4,,0.9622610903252866
5,5,,0.96245496790465
6,6,,0.9624324692170735
7,7,,0.9620544357134723
8,8,,0.9620433252504715
9,9,,0.9615325217140112
10,10,,0.9619558303543404
11,11,,0.9618511142405581
12,12,,0.9620738790237237
13,13,,0.9613891967413012
14,14,,0.9612633707478175
15,15,,0.9612911469053194
16,16,,0.96122753950464
17,17,,0.9611622655345105
18,18,,0.9609586663000214
19,19,,0.9615744637118391
20,20,,0.9623330305732165
21,21,,0.9624596898514254
22,22,,0.9630979859508195
23,23,,0.9634257446093423
24,24,,0.9640415420211599
25,25,,0.9642459745403741
26,26,,0.9643726338185828
27,27,,0.964808163968213
28,28,,0.9650787037422817
29,29,,0.9650417614528042
30,30,,0.9652211954302665
31,31,,0.9650495387769047
32,32,,0.9653345221528744
33,33,,0.9656200610519942
34,34,,0.9655517317045395
35,35,,0.9655956180333924
36,36,,0.965472291894084
37,37,,0.9653211895972735
38,38,,0.965242860833118
39,39,,0.965934764916491
40,40,,0.9658558806291855
41,41,,0.9657703300640796
42,42,,0.9660314259445977
43,43,,0.965791439943781
44,44,,0.9658908785876379
45,45,,0.9660419808844484
46,46,,0.9659519861341421
47,47,,0.9660880893059016
48,48,,0.9659147660830896
49,49,,0.9658108832540324
50,50,,0.9657208885037262
51,51,,0.9656720024665227
52,52,,0.9655492318503642
53,53,,0.9655708972532158
54,54,,0.9655414545262637
55,55,,0.9655386769105135
56,56,,0.9654636812852584
57,57,,0.965472569655659
58,58,,0.9657292213509767
59,59,,0.9657075559481253
60,60,,0.9656631140961222
61,61,,0.9658008838373318
62,62,,0.9661075326161529
63,63,,0.9659530971804422
64,64,,0.966036981176098
65,65,,0.9661108657550532
66,66,,0.9659897617083448
67,67,,0.9662825224084151
68,68,,0.9663119651353671
69,69,,0.966339741292869
70,70,,0.9662491910194128
71,71,,0.9662019715516594
72,72,,0.9662736340380145
73,73,,0.9668963754892076
74,74,,0.9668841539799067
75,75,,0.9666497232105905
76,76,,0.9666097255437878
77,77,,0.9666447235022402
78,78,,0.9668091583546515
79,79,,0.9666625002430413
80,80,,0.9665825049094359
81,81,,0.9665580618908342
82,82,,0.9665219528860817
83,83,,0.9664569566775272
84,84,,0.9664847328350291
85,85,,0.966526952594432
86,86,,0.9663880718069223
87,87,,0.9664352912746756
88,88,,0.9663891828532225
89,89,,0.9663819610522719
90,90,,0.9664152924412742
91,91,,0.9663852941911721
92,92,,0.9663297418761684
93,93,,0.9663091875196169
