,Epochs,TrainAUROCIndex,TrainF1Index,ValAUROCIndex,ValF1Index
0,0,0.49616930854152624,0.5047515273933679,0.5035361101229986,0.5301609436670939
1,1,0.49005273446230824,0.5033525245290407,0.4773116674688127,0.491988448633088
2,2,0.4849259169168875,0.5147314701281803,0.5090763188070722,0.5025680561860403
3,3,0.4866827516488626,0.504028277917647,0.5001536243491702,0.5112104366223017
4,4,0.5065092721455534,0.5132857242100676,0.5056115902132459,0.5258276528782315
5,5,0.4947488177830065,0.50761225525762,0.5207438700728946,0.51757403380341
6,6,0.5067595495304591,0.5133155823593408,0.49168285230795544,0.5080712950891919
7,7,0.49662394548805666,0.5019625047562828,0.5013901276720895,0.4970438645945655
8,8,0.4988954012662592,0.5100070259100954,0.49353541764948106,0.5060219118992487
9,9,0.4943223091917978,0.5113179515784895,0.5035214424133301,0.5204408831066556
10,10,0.5037142172665663,0.5069261264633125,0.4978756970829434,0.5007140023840798
11,11,0.49521896746796623,0.5135805720174816,0.4922090537018246,0.4988253547085656
12,12,0.49489827349152365,0.5052450358028143,0.5067281491226621,0.5155675957600275
13,13,0.4978845551819869,0.5047330176326591,0.4867894235584471,0.5010795063442655
14,14,0.49295267420755307,0.5068571533955318,0.5276766733990775,0.5152223474449582
15,15,0.4960285794567054,0.5024696727034071,0.5158923665682474,0.5149195293585459
16,16,0.5157791292163688,0.5111081096487986,0.49214647048049504,0.49561573730574715
17,17,0.48489047314079714,0.5043678388629161,0.5131610996193356,0.5118119037813611
18,18,0.4986657181256254,0.5096333421451945,0.4967862715323766,0.5057932684818903
19,19,0.4972682901671235,0.5145414568169017,0.5079482479227914,0.513744142320421
20,20,0.49853116231904904,0.5066479528453988,0.5047906554407544,0.519474595785141
21,21,0.5050374294670534,0.5109708342753666,0.522075409690539,0.5211438602871366
22,22,0.4972023153808755,0.5040425423165442,0.4773548212316301,0.503378892938296
23,23,0.5021810430875966,0.5078627618265824,0.5338596999645233,0.5107195725043615
24,24,0.5032460634977045,0.5129365257813897,0.501238207022349,0.5097824202643501
25,25,0.494033609477567,0.5062628346429744,0.5112768527534273,0.5265800638331307
26,26,0.4989624791581866,0.5044198695202948,0.5147037456432978,0.5139145702123642
27,27,0.49142641752538546,0.5067109217945959,0.4886343744066026,0.5036863535642624
28,28,0.49568392441306314,0.5128360827204207,0.48702142967118156,0.5046627902322345
29,29,0.4961349456243112,0.5096655320113813,0.49748167892297107,0.5090082552697923
30,30,0.5003652988185345,0.5147344558171822,0.4991524815559387,0.5092358589172363
31,31,0.49709951289942567,0.5116102888550557,0.49314892457591164,0.5168464746740129
32,32,0.4965388376108358,0.5067094921226233,0.4941072083181805,0.506261772579617
33,33,0.4917976889811771,0.5092540576424397,0.47744899491469067,0.48625507454077405
34,34,0.4922154016897712,0.5108062415055825,0.4954216480255127,0.5116306046644846
35,35,0.5048720672936506,0.5036385693180729,0.5223573330375884,0.5052309532960256
36,36,0.5007784085374483,0.516489928457099,0.4721116026242574,0.5012726154592302
37,37,0.500311877526028,0.5116820096130102,0.4876582473516464,0.5136833902862337
38,38,0.4975533518992679,0.5069860467608546,0.48875728580686784,0.49821139375368756
39,39,0.5140177448030928,0.510913654951982,0.49628379113144344,0.5013949241903093
40,40,0.4979841176053168,0.5096250520625585,0.48053499062856037,0.50364740855164
41,41,0.4956034006367267,0.5134453328562455,0.4895245565308465,0.5039543161789576
42,42,0.4869464891897121,0.505629474008587,0.49363846911324394,0.5013732148541344
43,43,0.48820582284054287,0.5046483601482821,0.4972337633371353,0.5134227044052548
