,Epochs,train_AUC,validation_AUC
0,0,0.9557115618122262,0.9289514200191914
1,1,0.9557416631122186,0.9291426177620555
2,2,0.956037276351012,0.9291802128238547
3,3,0.9559830182249043,0.9292110049697091
4,4,0.9560280162343344,0.9293907451699297
5,5,0.9560211481171057,0.929307677985764
6,6,0.9560389104892492,0.9295028142589118
7,7,0.956164336519745,0.9294440943528637
8,8,0.9563421733896456,0.9293792876272862
9,9,0.95638546621135,0.9293262964925597
10,10,0.9564321930916687,0.929451971413431
11,11,0.9565360200776382,0.9295432737063718
12,12,0.9565249363574206,0.9295819429127937
13,13,0.9565809707207426,0.92961846382997
14,14,0.9565484063718128,0.9294838377039084
15,15,0.9571565426276801,0.9305619208570242
16,16,0.9572521278729749,0.9305801813156124
17,17,0.9573801116850594,0.9308530140498117
18,18,0.9573824326350195,0.9308501496641508
19,19,0.9574132681130606,0.9308709164601922
20,20,0.9574046000754546,0.9308616072067943
21,21,0.9574273359117982,0.9308630393996248
22,22,0.9574546425985735,0.9309525514515274
23,23,0.9574589055678879,0.9309410939088839
24,24,0.957461558082128,0.9309221173538805
25,25,0.9644055324815762,0.9342222476834281
26,26,0.9661125201277281,0.934318920699483
27,27,0.9664077781190785,0.934970926485542
28,28,0.9666673692671648,0.9352025836758662
29,29,0.9668281542598076,0.9351155779614168
30,30,0.9676220612451328,0.9336450739727596
31,31,0.9677433427221285,0.9340940664251035
32,32,0.9683720833296822,0.9327617690445842
33,33,0.9692328478837554,0.9333930080346018
34,34,0.9692901848210346,0.9333357203213841
35,35,0.9694362388863798,0.93397770075763
36,36,0.969470058442941,0.9340772381593457
37,37,0.9708754646932592,0.9335158185698123
38,38,0.9710875474166525,0.9340693610987784
39,39,0.973477604845954,0.9355148017129026
40,40,0.9737824071519362,0.9354761325064807
41,41,0.9748721168413577,0.9371224381650746
42,42,0.9749236514037366,0.937157884937628
43,43,0.9760777792961317,0.9377103533219713
44,44,0.9760894314122578,0.9376179768844077
45,45,0.976538985209628,0.9377296879251823
46,46,0.976871496816154,0.9382155593429099
47,47,0.9774123492063417,0.9385009237643757
48,48,0.9776821477976197,0.939414662790198
49,49,0.977734463904373,0.9392245391919568
50,50,0.9779851028168991,0.9393967603798176
51,51,0.9786000361405065,0.9400813485527691
52,52,0.9787285409821739,0.9401418586998553
53,53,0.9791132976459647,0.9403581198172521
54,54,0.979314344015466,0.9413610128467697
55,55,0.9793731019425167,0.9412686364092061
56,56,0.979614362322551,0.9414924165389628
57,57,0.9797840285012656,0.9417552239233491
58,58,0.9798542727623023,0.9416703664981453
59,59,0.980265199321051,0.9436646950145368
60,60,0.9805770118432392,0.9437184022456784
61,61,0.9807272104620846,0.9438462254557953
62,62,0.9808975871356849,0.9447076894433066
63,63,0.9810960520404347,0.9448201165804964
64,64,0.9812640130314235,0.945344657204646
65,65,0.9813856260726993,0.9456207123727138
66,66,0.9814762852201196,0.9456547269524369
67,67,0.9816102608724072,0.9460697048250577
68,68,0.9817607436892068,0.9462050470475345
69,69,0.9818744228709251,0.9461828480586626
70,70,0.9819322571546243,0.9460790140784555
71,71,0.982033857923285,0.9464664222390903
72,72,0.9821267196048512,0.9470471764318348
73,73,0.9822051819233997,0.9471957664379932
74,74,0.9823188611051179,0.9472086561734672
75,75,0.9823849844958175,0.9473629749509473
76,76,0.982445921273851,0.9476583647222262
77,77,0.9825098184472418,0.947745012388468
78,78,0.9826263869748288,0.9476196955158043
79,79,0.9826729480730076,0.9477328387494092
80,80,0.9827699779912368,0.9475384185726766
81,81,0.9828117550905182,0.9474317202068087
82,82,0.9829079560980474,0.9473615427581169
83,83,0.9829398810015799,0.947484711341535
84,84,0.983017230211474,0.9474854274379503
85,85,0.9830535128169725,0.947342208154906
86,86,0.9833270533479822,0.9479637798433181
87,87,0.9833696830411265,0.9478241410423499
88,88,0.9834046867558306,0.9478570814774501
89,89,0.9834681813154529,0.9477969293785715
90,90,0.9834957011506938,0.9476737607951534
91,91,0.983515358175866,0.9477439382438452
92,92,0.9837109337347472,0.9481907824069433
93,93,0.9837315380864335,0.9480353894848402
