,Epochs,train_AUC,validation_AUC
0,0,0.9502716863127935,0.941039813361242
1,1,0.9503237287227925,0.940900270364556
2,2,0.9503152305694729,0.9411163984824699
3,3,0.951880154968391,0.9407007674864818
4,4,0.9523166159089292,0.9398817700156986
5,5,0.9559801803399437,0.9470761381475667
6,6,0.9560620014028977,0.9466367957439386
7,7,0.9558173283315965,0.9460192089656375
8,8,0.9562323507489876,0.9467741583813012
9,9,0.9562456949566797,0.9467071123321124
10,10,0.9562681342954039,0.9469564909297052
11,11,0.9565398996199534,0.9466496053549625
12,12,0.9585285728457664,0.9458932932147218
13,13,0.9589142380062349,0.9461145996860283
14,14,0.9586839099582027,0.9459865035757893
15,15,0.9590182701517289,0.9461865515436944
16,16,0.9592557794904796,0.9461396738182453
17,17,0.9592722314939104,0.9457286760858189
18,18,0.9594514125985123,0.9461966357055642
19,19,0.9644616182836715,0.949842741583813
20,20,0.9645338877032248,0.950001362724577
21,21,0.9647958906863575,0.950212857578929
22,22,0.9663853438459938,0.9500149899703472
23,23,0.9670540993493821,0.949888801674516
24,24,0.968367625898649,0.9509874302285016
25,25,0.9685649270326433,0.9510659231641374
26,26,0.9685848028788372,0.9511790293040293
27,27,0.9686636566113965,0.9512152777777778
28,28,0.9687126614583288,0.9509838871446015
29,29,0.9699385903073645,0.9523327119309262
30,30,0.9701036370867137,0.9528194771498343
31,31,0.9702173086664484,0.9525147719344148
32,32,0.9702411351004459,0.9526346916971917
33,33,0.9702905437852425,0.9531427154195011
34,34,0.9703509789995531,0.9533362223094366
35,35,0.9704539049804621,0.9534316130298273
36,36,0.9705233650931329,0.9535139215942787
37,37,0.9705468930382741,0.953610402494331
38,38,0.9705053152964126,0.9536651840223269
39,39,0.9705879615932633,0.9539012079190651
40,40,0.9705867149633342,0.9537731118088261
41,41,0.9706624960164907,0.9537534885749172
42,42,0.970650696927584,0.9536542822257108
43,43,0.9705912098543462,0.9531991322169894
44,44,0.9705901563642653,0.9527676936159079
45,45,0.9706025173145484,0.9524678942089656
46,46,0.9706737508021888,0.952507413221699
47,47,0.9707012820096377,0.9525766396302111
48,48,0.9708818853258488,0.9528208398744114
49,49,0.9711073848776767,0.9529824590092447
50,50,0.9712861972607502,0.95310128859236
51,51,0.971362434826275,0.9531192765567765
52,52,0.9714333522668912,0.9530410561660562
53,53,0.9714402350687534,0.9529914529914529
54,54,0.9714438169350287,0.9530121664050235
55,55,0.9714514020636115,0.9529707395778825
56,56,0.9715264281155432,0.9529260422117565
57,57,0.9716173794258655,0.9529342185592186
58,58,0.9716277914194988,0.9528500021803593
59,59,0.9716724769570992,0.9524425475318332
