,Epochs,train_AUC,validation_AUC
0,0,,0.9167086776563597
1,1,,0.9194348567091073
2,2,,0.9208788651304012
3,3,,0.9291361728943185
4,4,,0.9284107672256993
5,5,,0.9307155235380892
6,6,,0.9318691548630108
7,7,,0.9334531601334803
8,8,,0.93149463643785
9,9,,0.9318773899717858
10,10,,0.9320012746516191
11,11,,0.9310717815046617
12,12,,0.9322694527591194
13,13,,0.9338702862953469
14,14,,0.9344048522693096
15,15,,0.9335240536785873
16,16,,0.9337768357131604
17,17,,0.9340797444967991
18,18,,0.9362745800094525
19,19,,0.9362065508500065
20,20,,0.9369913925210891
21,21,,0.9369684774358019
22,22,,0.9382631797545221
23,23,,0.9371840224567836
24,24,,0.9372878564369906
25,25,,0.9419038139295075
26,26,,0.9423721409850623
27,27,,0.9435980980479212
28,28,,0.943040975036879
29,29,,0.9428325909800496
30,30,,0.9425704996920785
31,31,,0.9421995617489939
32,32,,0.9426127493805766
33,33,,0.9417627429357088
34,34,,0.9413760508714893
35,35,,0.9415006516477379
36,36,,0.9412722168912823
37,37,,0.9412271028171233
38,38,,0.9418271916130788
39,39,,0.941746988814574
40,40,,0.9422296377984332
41,41,,0.942102888732939
42,42,,0.9420298468985864
43,43,,0.9419990547527319
44,44,,0.9419116909900749
45,45,,0.9417842258281655
46,46,,0.9411662346218295
47,47,,0.9420692322014236
